COMPANY_NAME,LOAD_NUM,INVOICE_ID,INVOICE_DATE,DUE_DATE,BALANCE,TOTAL_AMOUNT,,
Loki Logisitcs Solution,2719678,129,9/20/2021,10/20/2021,0,426.8,,
Spiderman Logistics,173003,130,9/20/2021,10/20/2021,0,267.53,,
Rocket Raccoon + Groot Group,807827,131,9/21/2021,10/21/2021,0,15,,
10 Rings Logistics Transport Inc,244101,132,9/22/2021,10/22/2021,50,160,,
XMEN Logistics,5143328,133,9/22/2021,10/22/2021,0,260,,
Avengers Transportation Systems,174951,134,9/25/2021,10/25/2021,0,313,,
Spiderman Logistics,174328,135,9/28/2021,10/28/2021,0,176.4,,
"Ant Man Logistics, Inc",106117,136,9/29/2021,11/28/2021,50,200,,
Falcon Direct,944225,137,9/29/2021,10/29/2021,0,235.2,,
Avengers and SHIELD Brokerage,812739,138,10/10/2021,11/9/2021,0,167.5,,
10 Rings Logistics Transport Inc,246683,139,10/11/2021,11/10/2021,0,160,,
IRON MAN ENTERPRISE LOGISTICS,325141,140,10/11/2021,11/10/2021,0,320,,
XMEN Logistics,5146039,141,10/12/2021,11/11/2021,0,450,,
Avengers Advantage,55155,142,10/14/2021,11/13/2021,0,75,,
CAPTAIN AMERICA TRANS EXPRESS,333954,143,10/14/2021,11/13/2021,170,170,,
XMEN Logistics,5146582,144,10/15/2021,11/14/2021,0,380,,
"Nick Fury Transport, LLC",209016,145,10/19/2021,11/18/2021,0,140,,
Spiderman Logistics,178707,146,10/22/2021,11/21/2021,0,98,,
Nebula Carrier Services,14920,147,10/23/2021,11/22/2021,320,320,,
Captain Marvel Logistics,401211,148,10/24/2021,11/23/2021,0,320,,
Captain Marvel Logistics,401820,149,10/25/2021,11/24/2021,0,200,,
Avengers Transport Group LLC,1259117,150,10/26/2021,11/25/2021,0,70,,
"Nick Fury Transport, LLC",213060,151,10/26/2021,11/25/2021,0,160,,
Avengers and SHIELD Brokerage,828372,153,10/29/2021,11/28/2021,0,80,,
Spiderman Logistics,178238,152,10/29/2021,11/28/2021,0,150,,
Falcon Direct,953611,155,11/1/2021,12/1/2021,0,100,,
Falcon Direct,953613,154,11/1/2021,12/1/2021,25,105,,
Avengers Transportation Group LLC,1262230,156,11/5/2021,12/5/2021,0,85,,
Captain Marvel Logistics,400136,157,11/5/2021,12/5/2021,0,265,,
"Sanctum Sanctorum International Group, LLC",7322452,158,11/5/2021,12/5/2021,0,85,,
CAPTAIN AMERICA TRANS,L1195510,159,11/7/2021,12/7/2021,0,225,,
Agents of SHIELD,10463,160,11/8/2021,12/8/2021,0,199,,
Valkyries Global Logistics,60017925,161,11/8/2021,12/8/2021,0,230,,
CAPTAIN AMERICA TRANS,L1195510D,163,11/9/2021,12/9/2021,13.5,13.5,,
"Sanctum Sanctorum International Group, LLC",7326658,164,11/9/2021,12/9/2021,0,210,,
Spiderman Logistics,180727,162,11/9/2021,12/9/2021,0,310,,
Falcon Direct,951431,165,11/12/2021,12/12/2021,0,100,,
Captain Marvel Logistics,402785,167,11/13/2021,12/13/2021,0,400,,
Falcon Direct,951451,166,11/13/2021,12/13/2021,0,100,,
Captain Marvel Logistics,402797,169,11/14/2021,12/14/2021,0,330,,
Spiderman Logistics,184603,168,11/14/2021,12/14/2021,0,300,,
Avengers and SHIELD Brokerage,837251,176,11/15/2021,12/15/2021,0,380,,
AVENGERS SUCCESS TRANS,71179,173,11/15/2021,12/15/2021,0,190,,
Avengers Transport Group LLC,1264754,174,11/15/2021,12/15/2021,0,120,,
Captain Marvel Logistics,403511,175,11/15/2021,12/15/2021,0,100,,
Spiderman Logistics,184737,171,11/15/2021,12/15/2021,0,255,,
Spiderman Logistics,184738,170,11/15/2021,12/15/2021,0,255,,
The Hulk Transport,34595,172,11/15/2021,12/15/2021,0,65,,
Avengers Logistics,2334820,177,11/16/2021,12/16/2021,0,100,,
Valkyries Global Logistics,60018460,178,11/16/2021,12/16/2021,0,270.7,,
Avengers Transport Group LLC,1265178,180,11/18/2021,12/18/2021,0,120,,
Avengers Transportation Logistics Services Inc,40899,181,11/18/2021,12/18/2021,160,160,,
IRON MAN ENTERPRISE LOGISTICS,328725,179,11/18/2021,12/18/2021,0,190,,
Agents of S.H.I.E.L.D.,10555,182,11/19/2021,12/19/2021,0,220,,
Avengers Transport Group LLC,1265924,184,11/19/2021,12/19/2021,0,120,,
"Captain America Trans Express, Co",340810,183,11/19/2021,12/19/2021,0,110,,
Falcon Direct,951406,186,11/19/2021,12/19/2021,0,110,,
Guardians of the Galaxy Transport Services,241795,185,11/19/2021,12/19/2021,0,80.5,,
ETERNALS LOGISTICS,470365,187,11/22/2021,12/22/2021,0,160,,
"Nick Fury Transport, LLC",217627,189,11/22/2021,12/22/2021,0,55,,
"Sanctum Sanctorum International Group, LLC",7337857,190,11/22/2021,12/22/2021,0,210,,
"Sanctum Sanctorum International Group, LLC",7349080,191,11/22/2021,12/22/2021,0,150,,
XMEN Logistics,5152541,188,11/22/2021,12/22/2021,0,140,,
AVENGERS SUCCESS TRANS,70376,193L,11/23/2021,11/23/2021,0,25,,
Guardians of the Galaxy Transport Services,242345,194,11/23/2021,12/23/2021,0,60,,
IRON MAN ENTERPRISE LOGISTICS,330354,192,11/23/2021,12/23/2021,0,380,,
"Sanctum Sanctorum International Group, LLC",7348471,196,11/23/2021,12/23/2021,0,170,,
Valkyries Global Logistics,60020649,195,11/23/2021,12/23/2021,0,115,,
"Kamar Taj Transport, LLC",2387781,198,11/24/2021,12/24/2021,0,140,,
The Hulk LLC,10542,197,11/24/2021,12/24/2021,0,275,,
Avengers Logistics,2343979,199,11/29/2021,12/29/2021,0,300,,
Avengers Logistics,2340379,200,11/30/2021,12/30/2021,0,105,,
"Kamar Taj Transport, LLC",2388839,201,11/30/2021,12/30/2021,0,100,,
10 Rings Logistics Transport Inc,252015,202,12/1/2021,12/31/2021,0,150,,
Captain Marvel Logistics,404871,203,12/2/2021,1/1/2022,0,220,,
Avengers and SHIELD Brokerage,836618,206,12/3/2021,1/2/2022,0,802.5,,
Captain Marvel Logistics,404874,205,12/3/2021,1/2/2022,0,260,,
"Kamar Taj Transport, LLC",2389039,207,12/3/2021,1/2/2022,0,130,,
Starlord Logistics LLC,112188191,204,12/3/2021,1/2/2022,0,300,,
Valkyries Global Logistics,60022331,208,12/5/2021,1/4/2022,0,140,,
Avengers Logistics,2352171,209,12/6/2021,1/5/2022,0,105,,
The Hulk LLC,10657,210,12/6/2021,1/5/2022,250,250,,
ETERNALS LOGISTICS,471496,211,12/7/2021,1/6/2022,0,590,,
"Kamar Taj Transport, LLC",2355787,212,12/7/2021,1/6/2022,0,75,,
Avengers Transport Group LLC,1271057,214,12/9/2021,1/8/2022,0,118,,
"Kamar Taj Transport, LLC",2390045,216,12/9/2021,1/8/2022,0,105,,
"Sanctum Sanctorum International Group, LLC",7377504,217,12/9/2021,1/8/2022,0,90,,
Spiderman Logistics,189935,213,12/9/2021,1/8/2022,0,210,,
Valkyries Global Logistics,60023750,215,12/9/2021,1/8/2022,0,317,,
Avengers Transport Group LLC,1271110,218,12/10/2021,1/9/2022,0,118,,
Valkyries Global Logistics,60024715,219,12/10/2021,1/9/2022,0,115,,
Spiderman Logistics,191020,221,12/11/2021,1/10/2022,0,50,,
Spiderman Logistics,191021,220,12/11/2021,1/10/2022,0,50,,
10 Rings Logistics Transport Inc,253160,222,12/13/2021,1/12/2022,0,340,,
Captain Marvel Logistics,404346,224,12/13/2021,1/12/2022,0,245,,
Spiderman Logistics,190898,223,12/13/2021,1/12/2022,0,540,,
Valkyries Global Logistics,3001110732,225,12/14/2021,1/13/2022,0,150,,
Avengers Logistics,2360772,226,12/15/2021,1/14/2022,0,130,,
Falcon Direct,954700,227,12/15/2021,1/14/2022,0,110,,
"Sanctum Sanctorum International Group, LLC",7384616,228,12/15/2021,1/14/2022,15,15,,
Avengers Transportation Logistics Services Inc,41386,230,12/16/2021,1/15/2022,0,180,,
IRON MAN ENTERPRISE LOGISTICS,333435,229,12/16/2021,1/15/2022,0,50,,
Starlord Logistics LLC,112281467,231,12/17/2021,1/16/2022,0,131.1,,
Avengers Transport Group LLC,1272403,232,12/20/2021,1/19/2022,0,118,,
Avengers Transportation Group LLC,1272399,233,12/20/2021,1/19/2022,0,118,,
Avengers Logistics,2370022,234,12/21/2021,1/20/2022,110,110,,
Avengers Transport Group LLC,1274088,235,12/22/2021,1/21/2022,0,120,,
Avengers and SHIELD Brokerage,856640,237,12/23/2021,1/22/2022,0,70,,
ETERNALS LOGISTICS,472879,236,12/23/2021,1/22/2022,0,110,,
Avengers Logistics,2370962,238,12/27/2021,1/26/2022,0,130,,
Avengers Logistics,2370122,240,12/28/2021,1/27/2022,0,110,,
IRON MAN ENTERPRISE LOGISTICS,334620,239,12/28/2021,1/27/2022,0,200,,
XMEN Logistics,5157894,241,12/28/2021,1/27/2022,0,150,,
"Nick Fury Transport, LLC",243780,243,1/3/2022,2/2/2022,0,340,,
XMEN Logistics,5157765,242,1/3/2022,2/2/2022,0,180,,
Avengers Transport Group LLC,1277158,245,1/5/2022,2/4/2022,0,1000,,
Spiderman Logistics,195829,244,1/5/2022,2/4/2022,0,55,,
Spiderman Logistics,195830,246,1/7/2022,2/6/2022,0,55,,
Captain Marvel Logistics,406182,247,1/8/2022,2/7/2022,0,340,,
Avengers Logistics,2349345,249,1/11/2022,2/10/2022,0,131,,
Captain Marvel Logistics,407017,250,1/11/2022,2/10/2022,70,70,,
Dr. Strange Transport LLC,18781,248,1/11/2022,2/10/2022,110,110,,
Guardians of the Galaxy Transport Services,245741,251,1/14/2022,2/13/2022,0,200,,
Avengers Logistics,2375823,252,1/15/2022,2/14/2022,0,810,,
Avengers Logistics,2385967,253,1/15/2022,2/14/2022,0,188,,
Rocket Raccoon + Groot Group,112357885,255,1/15/2022,2/14/2022,350,350,,
The Hulk LLC,10887,254,1/15/2022,2/14/2022,0,100,,
Spiderman Logistics,196138,256,1/16/2022,2/15/2022,0,340,,
Avengers and SHIELD Brokerage,872037,259,1/17/2022,2/16/2022,380,380,,
Avengers Transportation Group LLC,1280786,258,1/17/2022,2/16/2022,0,350,,
IRON MAN ENTERPRISE LOGISTICS,336506,257,1/17/2022,2/16/2022,0,245,,
Avengers and SHIELD Brokerage,863320,260,1/18/2022,2/17/2022,420,420,,
Avengers Advantage,60540,261,1/19/2022,2/18/2022,0,70,,
Falcon Direct,973971,262,1/20/2022,2/19/2022,0,100,,
"Kamar Taj Transport, LLC",2396921,263,1/20/2022,2/19/2022,0,509.6,,
"Kamar Taj Transport, LLC",2397610,265,1/24/2022,2/23/2022,0,92.12,,
Starlord Logistics LLC,112455384,264,1/24/2022,2/23/2022,0,312.3,,
Falcon Direct,975142,267,1/25/2022,2/24/2022,0,100,,
XMEN Logistics,5160651,266,1/25/2022,2/24/2022,0,100,,
Avengers Advantage,61180,268,1/26/2022,2/25/2022,50,50,,
XMEN Logistics,5160576,269,1/26/2022,2/25/2022,0,210,,
"Kamar Taj Transport, LLC",2399606,270,1/27/2022,2/26/2022,0,160,,
Avengers and SHIELD Brokerage,881232,275,1/28/2022,2/27/2022,155,155,,
Avengers Transport Group LLC,1283310,272,1/28/2022,2/27/2022,0,1000,,
Avengers Transportation Group LLC,1283732,273,1/28/2022,2/27/2022,0,118,,
Falcon Direct,974373,274,1/28/2022,2/27/2022,0,140,,
"Kamar Taj Transport, LLC",2399051,276,1/28/2022,2/27/2022,0,115,,
Shang-Chi Transport Co,157736,271,1/28/2022,2/27/2022,90,90,,
Captain Marvel Logistics,407685,279,1/31/2022,3/2/2022,150,150,,
Guardians of the Galaxy Transport Services,246628,277,1/31/2022,3/2/2022,320,320,,
Valkyries Global Logistics,60031814,278,1/31/2022,3/2/2022,150,150,,
Avengers and SHIELD Brokerage,880540,282,2/2/2022,3/4/2022,110,110,,
Catwoman BRokerage Inc,CM4235,281,2/2/2022,3/4/2022,240,240,,
Wasp Logistics,42627,280,2/2/2022,3/4/2022,40,40,,
Avengers Logistics,2395791,283,2/3/2022,3/5/2022,420,420,,
AVENGERS SUCCESS TRANS,52237,284,2/5/2022,3/7/2022,165,165,,
"Kamar Taj Transport, LLC",2401179,285,2/5/2022,3/7/2022,0,90,,
ETERNALS LOGISTICS,476816,286,2/7/2022,3/9/2022,130,130,,
Falcon Direct,977630,288,2/7/2022,3/9/2022,0,320,,
XMEN Logistics,5162269,287,2/7/2022,3/9/2022,0,290,,
Avengers Transport Group LLC,1287331,289,2/8/2022,3/10/2022,330,330,,
Falcon Direct,977311,290,2/8/2022,3/10/2022,1,145,,
Captain Marvel Logistics,409125,292,2/9/2022,3/11/2022,180,180,,
XMEN Logistics,5161712,291,2/9/2022,3/11/2022,195,195,,
Agents of SHIELD,11040,293,2/10/2022,3/12/2022,215,215,,
"Kamar Taj Transport, LLC",2404173,294,2/10/2022,3/12/2022,0,110,,
Avengers Logistics,2402762,297,2/11/2022,3/13/2022,140,140,,
Black Widow Logistics,220050,295,2/11/2022,3/13/2022,0,510,,
IRON MAN ENTERPRISE LOGISTICS,339831,296,2/11/2022,3/13/2022,290,290,,
Avengers and SHIELD Brokerage,884038,298,2/12/2022,3/14/2022,155,155,,
Falcon Direct,975320,299,2/13/2022,3/15/2022,0,110,,
Avengers and SHIELD Brokerage,889018,303,2/14/2022,3/16/2022,240,240,,
IRON MAN ENTERPRISE LOGISTICS,339869,301,2/14/2022,3/16/2022,240,240,,
The Hulk LLC,11243,302,2/14/2022,3/16/2022,0,335,,
Wasp Logistics,42682,300,2/14/2022,3/16/2022,135,135,,
Agents of SHIELD,11083,304,2/16/2022,3/18/2022,280,280,,
Avengers Logistics,2411582,305,2/17/2022,3/19/2022,260,260,,
"Captain America Trans Express, Co",357142,306,2/17/2022,3/19/2022,150,150,,
XMEN Logistics,5166103,307,2/18/2022,3/20/2022,105,105,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
